"filename", "language", "XML", "C#", "Docker", "JSON with Comments", "TypeScript", "TypeScript JSX", "CSS", "Markdown", "JSON", "Properties", "HTML", "JavaScript", "Ignore", "YAML", "comment", "blank", "total"
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\models\serverError.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\models\user.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\router\RequireAuth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\router\Routes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\stores\activityStore.ts", "TypeScript", 0, 0, 0, 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21, 254
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\stores\commentStore.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 61
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\stores\commonStore.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\stores\modalStore.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\stores\profileStore.ts", "TypeScript", 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 193
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\stores\store.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\stores\userStore.ts", "TypeScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
"c:\Users\deltagare\aurellab\Activities\client-app\src\features\activities\dashboard\ActivityDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"c:\Users\deltagare\aurellab\Activities\client-app\src\features\activities\dashboard\ActivityFilters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\deltagare\aurellab\Activities\client-app\src\features\activities\dashboard\ActivityList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\deltagare\aurellab\Activities\client-app\src\features\activities\dashboard\ActivityListItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 68
"c:\Users\deltagare\aurellab\Activities\client-app\src\features\activities\dashboard\ActivityListItemAttendee.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Users\deltagare\aurellab\Activities\client-app\src\features\activities\dashboard\ActivityListItemPlaceholder.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\deltagare\aurellab\Activities\client-app\src\features\activities\details\ActivityDetailedChat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 91
"c:\Users\deltagare\aurellab\Activities\client-app\src\features\activities\details\ActivityDetailedHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 91
"c:\Users\deltagare\aurellab\Activities\client-app\src\features\activities\details\ActivityDetailedInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 116
"c:\Users\deltagare\aurellab\Activities\client-app\src\features\activities\details\ActivityDetailedSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 53
"c:\Users\deltagare\aurellab\Activities\client-app\src\features\activities\details\ActivityDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
